Taxonomy tree with leaf paper metadata:
Leaf rows include paperId, title, year, and stable external ids.
- Demographic Proxies
  - Region
    - 4dcef4d040cdbc17eb8e7e39d1456c2a1ab691a0 | title: SODAPOP: Open-Ended Discovery of Social Biases in Social Commonsense Reasoning Models | year: 2022 | ids: ArXiv=2210.07269; DOI=10.48550/arXiv.2210.07269; DBLP=journals/corr/abs-2210-07269; CorpusId=252907310; ACL=2023.eacl-main.116
    - 300867919d63378d15df2919a7586fc104631cc0 | title: WorldValuesBench: A Large-Scale Benchmark Dataset for Multi-Cultural Value Awareness of Language Models | year: 2024 | ids: ArXiv=2404.16308; DOI=10.48550/arXiv.2404.16308; DBLP=conf/coling/0001MTDGG24; CorpusId=269362884; ACL=2024.lrec-main.1539
    - 20a4b2db20c1f06eab6f26cf8b7bf1748e54e6df | title: NormBank: A Knowledge Bank of Situational Social Norms | year: 2023 | ids: ArXiv=2305.17008; DOI=10.48550/arXiv.2305.17008; DBLP=conf/acl/ZiemsDWHY23; CorpusId=258947336; ACL=2023.acl-long.429
  - Social and Political Relations
    - ddf5d61e16af06fabdab388604b10dce0b43cb31 | title: Sensitivity, Performance, Robustness: Deconstructing the Effect of Sociodemographic Prompting | year: 2023 | ids: ArXiv=2309.07034; DBLP=conf/eacl/BeckSLG24; CorpusId=261705772; ACL=2024.eacl-long.159
    - 68174d2f34fff5dbfb1e6d45414608d671c47b51 | title: ”It’s how you do things that matters”: Attending to Process to Better Serve Indigenous Communities with Language Technologies | year: 2024 | ids: ArXiv=2402.02639; DOI=10.48550/arXiv.2402.02639; DBLP=conf/eacl/CooperHH24; CorpusId=267412695; ACL=2024.eacl-short.19
    - 534c58762e69d7afbcb0f6a7e53c07484f6d4891 | title: Towards Measuring the Representation of Subjective Global Opinions in Language Models | year: 2023 | ids: ArXiv=2306.16388; DBLP=journals/corr/abs-2306-16388; CorpusId=259275051
    - 5471114e37448bea2457b74894b1ecb92bbcfdf6 | title: From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models | year: 2023 | ids: ArXiv=2305.08283; DOI=10.48550/arXiv.2305.08283; DBLP=conf/acl/FengPLT23; CorpusId=258686693; ACL=2023.acl-long.656
    - 10391eed628dfece8a9136f76c5df53b5704422d | title: Social Chemistry 101: Learning to Reason about Social and Moral Norms | year: 2020 | ids: ArXiv=2011.00620; DOI=10.18653/v1/2020.emnlp-main.48; DBLP=conf/emnlp/ForbesHSSC20; CorpusId=226226666; MAG=3104041537; ACL=2020.emnlp-main.48
    - 8418b19807cdbec678d4a09e11c0d532c856c8d6 | title: KoBBQ: Korean Bias Benchmark for Question Answering | year: 2023 | ids: ArXiv=2307.16778; DOI=10.1162/tacl_a_00661; DBLP=journals/tacl/JinKLYOL24; CorpusId=260334475; ACL=2024.tacl-1.28
    - 5bf2343f67ae81610040d3fa07024c13c8591da7 | title: The Ghost in the Machine has an American accent: value conflict in GPT-3 | year: 2022 | ids: ArXiv=2203.07785; DOI=10.48550/arXiv.2203.07785; DBLP=journals/corr/abs-2203-07785; CorpusId=247451091
    - 6ee1964f089db48c9750c99ce658fe7f17a33477 | title: CLIcK: A Benchmark Dataset of Cultural and Linguistic Intelligence in Korean | year: 2024 | ids: ArXiv=2403.06412; DOI=10.48550/arXiv.2403.06412; DBLP=journals/corr/abs-2403-06412; CorpusId=268357672; ACL=2024.lrec-main.296
    - 953b304d0dd3745861f5fa56fd342a2edbd30710 | title: IndoCulture: Exploring Geographically Influenced Cultural Commonsense Reasoning Across Eleven Indonesian Provinces | year: 2024 | ids: ArXiv=2404.01854; DOI=10.1162/tacl_a_00726; DBLP=journals/corr/abs-2404-01854; CorpusId=268856961
    - 0b641cc51d8e25c6c0b2362317fec7e0bf26fbf1 | title: KoSBI: A Dataset for Mitigating Social Bias Risks Towards Safer Large Language Model Applications | year: 2023 | ids: ArXiv=2305.17701; DOI=10.48550/arXiv.2305.17701; DBLP=journals/corr/abs-2305-17701; CorpusId=258959496; ACL=2023.acl-industry.21
    - bb9a44c94a89dbe00f0061d05c70a45064ff6ea6 | title: CMMLU: Measuring massive multitask language understanding in Chinese | year: 2023 | ids: ArXiv=2306.09212; DOI=10.48550/arXiv.2306.09212; DBLP=journals/corr/abs-2306-09212; CorpusId=259164635
    - 2ef23e8b3c07885a850164d86ba748303e335377 | title: CultureLLM: Incorporating Cultural Differences into Large Language Models | year: 2024 | ids: ArXiv=2402.10946; DOI=10.48550/arXiv.2402.10946; DBLP=journals/corr/abs-2402-10946; CorpusId=267750997
    - 3d682feaba804468217d27cf3f1e1db202cfca86 | title: Cultural Alignment in Large Language Models: An Explanatory Analysis Based on Hofstede's Cultural Dimensions | year: 2023 | ids: ArXiv=2309.12342; DOI=10.48550/arXiv.2309.12342; DBLP=journals/corr/abs-2309-12342; CorpusId=262216989
    - e38a29f6463f38f43797b128673b9e44d18a991e | title: Whose Opinions Do Language Models Reflect? | year: 2023 | ids: ArXiv=2303.17548; DBLP=conf/icml/SanturkarDLLLH23; CorpusId=257834040
    - f4f794a463e736de9761685a1b364a927d06882d | title: Modeling Cross-Cultural Pragmatic Inference with Codenames Duet | year: 2023 | ids: ArXiv=2306.02475; DOI=10.48550/arXiv.2306.02475; DBLP=journals/corr/abs-2306-02475; CorpusId=259076052
    - 20a4b2db20c1f06eab6f26cf8b7bf1748e54e6df | title: NormBank: A Knowledge Bank of Situational Social Norms | year: 2023 | ids: ArXiv=2305.17008; DOI=10.48550/arXiv.2305.17008; DBLP=conf/acl/ZiemsDWHY23; CorpusId=258947336; ACL=2023.acl-long.429
  - Food and Drink
    - 1d9086a0d98d50812c175baa0911472713e399ab | title: Extracting Cultural Commonsense Knowledge at Scale | year: 2022 | ids: ArXiv=2210.07763; DOI=10.1145/3543507.3583535; DBLP=conf/www/NguyenRVW23; CorpusId=252907608
    - 96e37dc703d58da316041fcfcabddb49dfe855b0 | title: Cultural Adaptation of Recipes | year: 2023 | ids: ArXiv=2310.17353; DOI=10.1162/tacl_a_00634; DBLP=journals/tacl/CaoKCKZDDH24; CorpusId=264490744; ACL=2024.tacl-1.5
    - 953b304d0dd3745861f5fa56fd342a2edbd30710 | title: IndoCulture: Exploring Geographically Influenced Cultural Commonsense Reasoning Across Eleven Indonesian Provinces | year: 2024 | ids: ArXiv=2404.01854; DOI=10.1162/tacl_a_00726; DBLP=journals/corr/abs-2404-01854; CorpusId=268856961
    - bb9a44c94a89dbe00f0061d05c70a45064ff6ea6 | title: CMMLU: Measuring massive multitask language understanding in Chinese | year: 2023 | ids: ArXiv=2306.09212; DOI=10.48550/arXiv.2306.09212; DBLP=journals/corr/abs-2306-09212; CorpusId=259164635
    - 890e5c71120a75d090bb116ae5b12862a67bc853 | title: FORK: A Bite-Sized Test Set for Probing Culinary Cultural Biases in Commonsense Reasoning Models | year: 2023 | ids: DOI=10.18653/v1/2023.findings-acl.631; DBLP=conf/acl/PaltaR23; CorpusId=259858965
    - 1d83d2512bd9c7ceb8de1fa25ac7b8c4c00b5573 | title: Can LLM Generate Culturally Relevant Commonsense QA Data? Case Study in Indonesian and Sundanese | year: 2024 | ids: ArXiv=2402.17302; DOI=10.48550/arXiv.2402.17302; DBLP=conf/emnlp/PutriHAO24; CorpusId=268032638; ACL=2024.emnlp-main.1145
    - 8acf4abf9010fec003154fca6cfddb8fb245b168 | title: Does Mapo Tofu Contain Coffee? Probing LLMs for Food-related Cultural Knowledge | year: 2024 | ids: ArXiv=2404.06833; DOI=10.48550/arXiv.2404.06833; DBLP=journals/corr/abs-2404-06833; CorpusId=269033101
  - Emotions and Values
    - ca94c924d8a3b77a2bd5b16ffc03b8723bce9c1f | title: Assessing Cross-Cultural Alignment between ChatGPT and Human Societies: An Empirical Study | year: 2023 | ids: ArXiv=2303.17466; DOI=10.48550/arXiv.2303.17466; DBLP=journals/corr/abs-2303-17466; CorpusId=257833897; ACL=2023.c3nlp-1.7
    - f850ebd6cddd742dd7851ec12c76d847e66477d8 | title: Bridging Cultural Nuances in Dialogue Agents through Cultural Value Surveys | year: 2024 | ids: ArXiv=2401.10352; DOI=10.48550/arXiv.2401.10352; DBLP=journals/corr/abs-2401-10352; CorpusId=267061333; ACL=2024.findings-eacl.63
    - 96e37dc703d58da316041fcfcabddb49dfe855b0 | title: Cultural Adaptation of Recipes | year: 2023 | ids: ArXiv=2310.17353; DOI=10.1162/tacl_a_00634; DBLP=journals/tacl/CaoKCKZDDH24; CorpusId=264490744; ACL=2024.tacl-1.5
    - 60cc0b1a573e75732d54ac688b84b7bd4a021b89 | title: NormSAGE: Multi-Lingual Multi-Cultural Norm Discovery from Conversations On-the-Fly | year: 2022 | ids: ArXiv=2210.08604; DOI=10.48550/arXiv.2210.08604; DBLP=conf/emnlp/0001CGRMJ23; CorpusId=252918637
    - 9eb9d7efc07cc5dd915124f3cb4a02b3cef571bb | title: Multilingual Language Models are not Multicultural: A Case Study in Emotion | year: 2023 | ids: ArXiv=2307.01370; DOI=10.48550/arXiv.2307.01370; DBLP=conf/wassa/HavaldarSRLGU23; CorpusId=259342568; ACL=2023.wassa-1.19
    - 598231eb906b183f7a2a408ef4536127e11e3de9 | title: Challenges and Strategies in Cross-Cultural NLP | year: 2022 | ids: ArXiv=2203.10020; DOI=10.48550/arXiv.2203.10020; DBLP=journals/corr/abs-2203-10020; CorpusId=247594499; ACL=2022.acl-long.482
    - cb144605e705c1961bc19a69e215d02ff542b077 | title: Culturally Aware Natural Language Inference | year: 2023 | ids: DOI=10.18653/v1/2023.findings-emnlp.509; DBLP=conf/emnlp/HuangY23; CorpusId=266176303
    - 6ce0d40ae56346bf6d9130a2322868408a0feca3 | title: Revision Transformers: Instructing Language Models to Change Their Values | year: 2022 | ids: ArXiv=2210.10332; DOI=10.3233/FAIA230341; DBLP=conf/ecai/FriedrichSSK23; CorpusId=260133628
    - 6ef1edae4250ae813a1d875e6941f6c03c63c904 | title: CAN MACHINES LEARN MORALITY? THE DELPHI EXPERIMENT | year: 2021 | ids: ArXiv=2110.07574; CorpusId=250495586
    - 5bf2343f67ae81610040d3fa07024c13c8591da7 | title: The Ghost in the Machine has an American accent: value conflict in GPT-3 | year: 2022 | ids: ArXiv=2203.07785; DOI=10.48550/arXiv.2203.07785; DBLP=journals/corr/abs-2203-07785; CorpusId=247451091
    - 3f421c7defc20c21e97abad5fa92887a06ec5df8 | title: Large Language Models Only Pass Primary School Exams in Indonesia: A Comprehensive Test on IndoMMLU | year: 2023 | ids: ArXiv=2310.04928; DOI=10.48550/arXiv.2310.04928; DBLP=journals/corr/abs-2310-04928; CorpusId=263829211
    - 25e4e7a69454099ca0e3ccbf079452878d3abce9 | title: Are Multilingual LLMs Culturally-Diverse Reasoners? An Investigation into Multicultural Proverbs and Sayings | year: 2023 | ids: ArXiv=2309.08591; DOI=10.48550/arXiv.2309.08591; DBLP=journals/corr/abs-2309-08591; CorpusId=261875650; ACL=2024.naacl-long.112
    - f8b3e43d8b4e7028f7cb83198f0bee732909d5a5 | title: NormMark: A Weakly Supervised Markov Model for Socio-cultural Norm Discovery | year: 2023 | ids: ArXiv=2305.16598; DOI=10.48550/arXiv.2305.16598; DBLP=conf/acl/MoghimifarQWLH23; CorpusId=258947096
    - db3eff14f72e5d85dd7d039baa13e9b89d91c0f2 | title: Global Voices, Local Biases: Socio-Cultural Prejudices across Languages | year: 2023 | ids: ArXiv=2310.17586; DOI=10.48550/arXiv.2310.17586; DBLP=journals/corr/abs-2310-17586; CorpusId=264491136
    - 430a95e3cbebddf8d727c874e007d32ab844f148 | title: Having Beer after Prayer? Measuring Cultural Bias in Large Language Models | year: 2023 | ids: ArXiv=2305.14456; DOI=10.48550/arXiv.2305.14456; DBLP=journals/corr/abs-2305-14456; CorpusId=258865272
    - 55990bdf4c0e8dc5ae28a87d2a659ee4b7f56703 | title: What Makes it Ok to Set a Fire? Iterative Self-distillation of Contexts and Rationales for Disambiguating Defeasible Social and Moral Situations | year: 2023 | ids: ArXiv=2310.15431; DOI=10.48550/arXiv.2310.15431; DBLP=conf/emnlp/RaoJPGTDB023; CorpusId=264438998
    - a66ff335f5934fe7503a99d3eb3abed493994df1 | title: NLPositionality: Characterizing Design Biases of Datasets and Models | year: 2023 | ids: ArXiv=2306.01943; DOI=10.48550/arXiv.2306.01943; DBLP=journals/corr/abs-2306-01943; CorpusId=259076120; ACL=2023.acl-long.505
    - f4f794a463e736de9761685a1b364a927d06882d | title: Modeling Cross-Cultural Pragmatic Inference with Codenames Duet | year: 2023 | ids: ArXiv=2306.02475; DOI=10.48550/arXiv.2306.02475; DBLP=journals/corr/abs-2306-02475; CorpusId=259076052
    - 8a6bda5739c9c975b49327b9fe891d908fdfa951 | title: A Word on Machine Ethics: A Response to Jiang et al. (2021) | year: 2021 | ids: ArXiv=2111.04158; DBLP=journals/corr/abs-2111-04158; CorpusId=243847937
    - 2c3890b566c37927ac70eedfa3e6aecb79b13832 | title: Probing the Moral Development of Large Language Models through Defining Issues Test | year: 2023 | ids: ArXiv=2309.13356; DOI=10.48550/arXiv.2309.13356; DBLP=journals/corr/abs-2309-13356; CorpusId=262460834
    - e76cf464a3a685acab9ad8cabeae05ecc3e5c641 | title: Are Personalized Stochastic Parrots More Dangerous? Evaluating Persona Biases in Dialogue Systems | year: 2023 | ids: ArXiv=2310.05280; DOI=10.48550/arXiv.2310.05280; DBLP=conf/emnlp/WanZCPC23; CorpusId=263830709
    - e1c7e3e6d81e41a5bb804337fe16346103051b56 | title: COPAL-ID: Indonesian Language Reasoning with Local Culture and Nuances | year: 2023 | ids: ArXiv=2311.01012; DOI=10.48550/arXiv.2311.01012; DBLP=journals/corr/abs-2311-01012; CorpusId=264935209; ACL=2024.naacl-long.77
    - bbbc59161fcc847d2db3c4e8f285e9bc7429f8be | title: Cross-Cultural Analysis of Human Values, Morals, and Biases in Folk Tales | year: 2023 | ids: DOI=10.18653/v1/2023.emnlp-main.311; DBLP=conf/emnlp/Wu0M23; CorpusId=266164065
    - c8a940f2015afad576d35e7a6916cc1a0cec169d | title: The Skipped Beat: A Study of Sociopragmatic Understanding in LLMs for 64 Languages | year: 2023 | ids: ArXiv=2310.14557; DOI=10.48550/arXiv.2310.14557; DBLP=journals/corr/abs-2310-14557; CorpusId=264425932
- Probing methods
  - White-box Approach
    - Mechanistic Interpretability
      - 409e0616a0fc02dd0ee8d5ae061944a98e9bd5a9 | title: Gradient-Based Language Model Red Teaming | year: 2024 | ids: ArXiv=2401.16656; DOI=10.48550/arXiv.2401.16656; DBLP=conf/eacl/WichersDB24; CorpusId=267320331; ACL=2024.eacl-long.175
  - Black-box Approach
    - Discriminative Probing
      - ca94c924d8a3b77a2bd5b16ffc03b8723bce9c1f | title: Assessing Cross-Cultural Alignment between ChatGPT and Human Societies: An Empirical Study | year: 2023 | ids: ArXiv=2303.17466; DOI=10.48550/arXiv.2303.17466; DBLP=journals/corr/abs-2303-17466; CorpusId=257833897; ACL=2023.c3nlp-1.7
      - 774aaed6f198ad34bed174b1c25b0d88ce028024 | title: Ethical Reasoning over Moral Alignment: A Case and Framework for In-Context Ethical Policies in LLMs | year: 2023 | ids: ArXiv=2310.07251; DOI=10.48550/arXiv.2310.07251; DBLP=journals/corr/abs-2310-07251; CorpusId=263835359
      - 2c3890b566c37927ac70eedfa3e6aecb79b13832 | title: Probing the Moral Development of Large Language Models through Defining Issues Test | year: 2023 | ids: ArXiv=2309.13356; DOI=10.48550/arXiv.2309.13356; DBLP=journals/corr/abs-2309-13356; CorpusId=262460834
    - Generative Probing
      - f4f154892800008894ebbf57add31fcaac4f27ca | title: SeeGULL: A Stereotype Benchmark with Broad Geo-Cultural Coverage Leveraging Generative Models | year: 2023 | ids: ArXiv=2305.11840; DOI=10.48550/arXiv.2305.11840; DBLP=conf/acl/JhaDRDPD23; CorpusId=258823008; ACL=2023.acl-long.548
      - 42b6852b2e5e8e50687a6aa34fb4655e413caa0c | title: CULTURE-GEN: Revealing Global Cultural Perception in Language Models through Natural Language Prompting | year: 2024 | ids: ArXiv=2404.10199; DOI=10.48550/arXiv.2404.10199; DBLP=journals/corr/abs-2404-10199; CorpusId=269157402
      - babeda48b10a4d638252118f2238d05a06f4ec55 | title: StereoSet: Measuring stereotypical bias in pretrained language models | year: 2020 | ids: ArXiv=2004.09456; DOI=10.18653/v1/2021.acl-long.416; DBLP=journals/corr/abs-2004-09456; CorpusId=215828184; MAG=3019416653; ACL=2021.acl-long.416
      - 645bd6eadc247989abc5e0b0aa0be79ec8b11ea6 | title: CrowS-Pairs: A Challenge Dataset for Measuring Social Biases in Masked Language Models | year: 2020 | ids: ArXiv=2010.00133; DOI=10.18653/v1/2020.emnlp-main.154; DBLP=journals/corr/abs-2010-00133; CorpusId=222090785; MAG=3089430725; ACL=2020.emnlp-main.154
      - e76cf464a3a685acab9ad8cabeae05ecc3e5c641 | title: Are Personalized Stochastic Parrots More Dangerous? Evaluating Persona Biases in Dialogue Systems | year: 2023 | ids: ArXiv=2310.05280; DOI=10.48550/arXiv.2310.05280; DBLP=conf/emnlp/WanZCPC23; CorpusId=263830709
